,metric,time,TA1,TA2
0,RMSE,all,0.48,0.64
1,bias,all,0.09,0.22
2,R2,all,0.99,0.98
3,N,all,3345.0,3345.0
4,RMSE,night,8.54,10.76
5,bias,night,2.86,3.22
6,R2,night,-51.82,-87.02
7,N,night,5.0,5.0
8,RMSE,day,0.5,0.51
9,bias,day,-0.07,0.01
10,R2,day,0.96,0.96
11,N,day,1100.0,1100.0
