time,p_u,t_u,rh_u,rh_u_cor,qh_u,wspd_u,wdir_u,dsr,dsr_cor,usr,usr_cor,albedo,dlr,ulr,cc,t_surf,dlhf_u,dshf_u,z_boom_u,z_stake,z_pt,z_pt_cor,precip_u,precip_u_cor,t_i_1,t_i_2,t_i_3,t_i_4,t_i_5,t_i_6,t_i_7,t_i_8,tilt_x,tilt_y,rot,gps_lat,gps_lon,gps_alt,gps_time,gps_geoid,gps_hdop,gps_numsat,gps_q,batt_v,batt_v_ini,batt_v_ss,fan_dc_u,freq_vw,t_log,t_rad
2019-10-01,804.0,-10.765,86.3708,100.0,1.8816,6.8325,151.1125,23.9557,25.7988,21.8841,21.9229,,262.3163,267.042,0.9222,-11.1484,1.7526,4.2262,2.2463,2.3535,,,,,,,,,,,,,-4.8316,3.8424,,77.181808,61.115561,1888.75,145923.5,,0.75,,,12.88,,,124.15,,,-10.7671
2019-10-02,799.1917,-14.9667,81.4183,100.0,1.3119,6.397,141.5458,34.6564,37.6366,31.2791,31.9822,,218.9872,247.3944,0.6231,-15.955,4.358,16.6039,2.2469,2.3752,,,,,,,,,,,,,-3.8782,3.129,,77.181829,61.115644,1891.25,145923.5,,0.8,,,13.35,,,128.05,,,-14.9283
2019-10-03,794.4833,-15.9838,80.1304,100.0,1.1994,7.34,139.9,38.9438,32.9643,28.8928,28.0119,,194.8691,241.7291,0.4362,-17.2567,8.8348,28.8259,2.2453,2.3755,,,,,,,,,,,,,-3.8397,3.9544,,77.181809,61.115537,1888.0,145922.75,,0.84,,,13.48,,,132.18,,,-16.1158
2019-10-04,788.1458,-12.7812,86.7938,100.0,1.6338,7.6387,164.25,18.8779,21.6195,18.3879,18.3715,,234.8109,256.9321,0.727,-13.5665,6.1716,14.915,2.2469,2.3465,,,,,,,,,,,,,-4.6551,3.3332,,77.181813,61.115592,1888.75,145922.25,,0.82,,,12.9,,,123.02,,,-12.9004
2019-10-05,784.0333,-10.1913,89.5167,100.0,2.0549,8.7174,168.0667,20.5037,22.0344,18.2137,18.724,,243.5732,267.4154,0.7104,-10.9322,7.8384,15.094,2.243,2.3308,,,,,,,,,,,,,-3.3958,2.8648,,77.181838,61.115614,1886.75,145922.5,,0.82,,,13.03,,,129.32,,,-10.3275
2019-10-06,781.5542,-12.525,87.2792,100.0,1.6852,8.5115,201.2917,16.0594,18.9614,15.2639,16.1127,,244.7619,259.7737,0.8215,-12.8971,2.8985,7.529,2.2472,2.3515,,,,,,,,,,,,,-3.8754,3.829,,77.181807,61.115572,1888.5,145922.25,,0.8,,,12.84,,,123.05,,,-12.6038
2019-10-07,788.5042,-18.995,81.285,100.0,0.9107,6.806,172.5167,17.9501,20.316,17.5632,17.2639,,212.5122,234.2404,0.7413,-19.4683,2.5152,11.5648,2.2103,2.3057,,,,,,,,,,,,,-4.2786,3.5667,,77.181817,61.115612,1890.0,145922.0,,0.79,,,12.75,,,121.2,,,-19.0096
2019-10-08,793.55,-23.5183,78.1529,100.0,0.5895,4.2762,138.3958,23.7545,20.0606,18.1858,17.0468,,209.1881,219.8158,0.8776,-23.5626,0.0058,0.1608,2.2082,2.3345,,,,,,,,,,,,,-4.3194,3.1631,,77.181825,61.115627,1890.75,145921.5,,0.82,,,12.8,,,117.1,,,-23.5525
2019-10-09,797.9,-17.9892,82.5467,100.0,1.0246,4.7964,167.3,8.8335,9.6292,8.698,8.1825,,235.9898,240.352,0.9467,-18.0376,0.0328,0.5957,2.1996,2.2975,,,,,,,,,,,,,-4.9345,3.3412,,77.181825,61.115624,1889.75,145921.5,,0.84,,,12.71,,,119.2,,,-18.0479
2019-10-10,802.5,-14.8933,82.2117,100.0,1.2954,6.662,180.4125,20.4902,19.8128,16.7697,16.8362,,219.2005,248.9492,0.6505,-15.5039,4.8003,15.9448,2.1951,2.283,,,,,,,,,,,,,-5.0256,3.8347,,77.181828,61.115569,1889.75,145921.25,,0.89,,,12.75,,,122.25,,,-14.9796
2019-10-11,793.0417,-19.6738,73.0942,100.0,0.8528,9.476,146.4083,9.0365,16.0359,10.7574,13.6268,,171.0443,226.3654,0.3227,-21.3459,7.7908,37.4799,2.1955,2.3175,,,,,,,,,,,,,-4.8149,3.8604,,77.181804,61.115614,1886.25,145921.0,,0.89,,,12.85,,,126.62,,,-19.8554
2019-10-12,793.5833,-20.6054,78.9633,100.0,0.7701,5.6598,145.9375,9.4191,11.7123,9.1154,9.9527,,213.6153,228.4286,0.8072,-21.1026,1.0312,5.7812,2.1925,2.308,,,,,,,,,,,,,-4.5214,3.7974,,77.181818,61.115596,1889.25,145920.5,,0.88,,,12.77,,,120.42,,,-20.67
2019-10-13,794.7542,-25.6571,76.5358,100.0,0.48,5.2715,117.3208,23.0898,15.012,15.85,12.7567,,200.0013,212.3872,0.8567,-25.6923,0.0519,0.7143,2.1892,2.3298,,,,,,,,,,,,,-4.5678,4.5143,,77.181806,61.115587,1884.75,145920.25,,0.87,,,12.94,,,121.52,,,-25.71
2019-10-14,792.7042,-26.3404,75.9829,100.0,0.4452,6.4597,155.0667,8.5503,10.5041,8.7998,8.926,,199.7945,209.9586,0.8807,-26.4096,0.1626,1.4645,2.1834,2.2553,,,,,,,,,,,,,-4.6405,3.9944,,77.18181,61.115565,1890.0,145920.5,,0.87,,,12.75,,,122.1,,,-26.4275
2019-10-15,793.3375,-17.2433,82.7854,100.0,1.0588,8.3536,201.9292,6.2098,7.338,6.4924,6.2356,,230.8818,241.9173,0.8687,-17.4953,1.584,6.4194,2.2021,2.3068,,,,,,,,,,,,,-3.9668,4.7173,,77.181824,61.115645,1890.75,145920.5,,0.79,,,12.69,,,122.3,,,-17.3379
2019-10-16,796.1667,-17.955,82.2958,100.0,0.9836,5.7155,225.45,4.3302,5.4474,5.3525,4.629,,231.9869,239.4894,0.9091,-18.1629,0.5628,2.5794,2.2016,2.3042,,,,,,,,,,,,,-4.3813,3.5578,,77.181821,61.115619,1889.5,145920.25,,0.82,,,12.69,,,120.1,,,-18.0388
2019-10-17,797.225,-24.3808,77.6483,100.0,0.5844,2.9162,185.1625,3.429,4.9024,6.3176,4.1658,,214.299,217.2424,0.9628,-24.4832,0.1162,1.0118,2.1833,2.3118,,,,,,,,,,,,,-4.2489,3.5459,,77.181825,61.115604,1892.75,145919.25,,0.81,,,12.7,,,120.22,,,-24.4638
2019-10-18,793.5917,-27.6088,75.3933,100.0,0.3868,0.8702,161.7125,1.7931,2.8242,3.5781,2.3999,,205.0337,205.5147,0.987,-27.7986,0.0,0.0,2.1842,2.3258,,,,,,,,,,,,,-4.5327,3.7485,,77.181827,61.115607,1890.75,145919.25,,0.78,,,12.67,,,119.8,,,-27.8171
2019-10-19,793.3833,-30.6388,73.3904,100.0,0.2802,,,3.1171,3.8475,4.0558,3.2695,,195.7434,195.8803,0.9913,-30.7146,,,2.1958,2.3375,,,,,,,,,,,,,-4.4779,3.5832,,77.181811,61.115611,1888.0,145919.5,,0.75,,,12.67,,,120.15,,,-30.72
2019-10-20,796.9667,-25.4513,76.555,100.0,0.4973,,,1.197,1.4286,1.8934,1.2139,,213.7392,213.7694,0.9871,-25.4245,,,2.1859,2.313,,,,,,,,,,,,,-4.5608,3.4981,,77.181817,61.115606,1888.25,145919.25,,0.74,,,12.66,,,119.28,,,-25.4208
2019-10-21,805.875,-35.02,70.5992,100.0,0.1735,,,2.4207,3.0344,4.4915,2.5785,,182.8968,183.0277,0.9972,-34.8038,,,2.1955,2.3643,,,,,,,,,,,,,-4.91,3.2825,,77.181827,61.115564,1889.25,145919.5,,0.73,,,12.65,,,120.32,,,-34.8125
2019-10-22,806.1667,-31.4642,72.6142,100.0,0.2525,,,1.353,1.6433,2.2894,1.3964,,193.6525,193.7175,0.9992,-31.3887,,,2.18,2.349,,,,,,,,,,,,,-5.0444,3.6413,,77.181822,61.115563,1890.25,145919.5,,0.72,,,12.64,,,117.9,,,-31.3904
2019-10-23,805.7917,-25.4158,76.4338,100.0,0.517,0.1024,127.83,1.193,1.3097,1.2248,1.113,,212.8224,213.769,0.9859,-25.4753,0.0,0.0,2.179,2.307,,,,,,,,,,,,,-5.1262,4.1016,,77.181822,61.115618,1887.25,145918.5,,0.74,,,12.64,,,118.3,,,-25.4804
2019-10-24,800.8042,-14.1004,86.2333,100.0,1.3972,12.737,187.3375,0.9372,1.0483,1.1844,0.8908,,253.8804,254.8803,0.9846,-14.211,1.5954,4.9514,2.1842,2.2688,,,,,,,,,,,,,-5.0228,3.649,,77.181827,61.115614,1888.0,145918.25,,0.74,,,12.65,,,79.88,,,-14.2121
2019-10-25,789.225,-10.8033,89.55,100.0,1.9107,19.895,205.325,1.078,1.3732,1.2461,1.1669,,262.822,267.9055,0.9395,-10.934,2.8871,6.8873,2.1268,2.2038,,,,,,,,,,,,,-1.8165,2.5115,,77.181817,61.115611,1888.0,145918.25,,0.74,,,12.67,,,,,,-10.8875
2019-10-26,794.6667,-10.8279,89.6042,100.0,1.8905,13.6275,215.2125,0.9328,1.3053,1.1676,1.1092,,262.0222,267.5255,0.9323,-11.0215,3.0695,7.213,2.0526,2.1487,,,,,,,,,,,,,-2.8559,4.8925,,77.181822,61.115618,1889.0,145918.5,,0.83,,,12.66,,,,,,-10.93
2019-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-28,799.1,-12.06,88.4,100.0,1.6828,10.02,209.8,0.6386,0.0,1.1174,0.0,,251.7274,261.9604,0.8767,-12.358,3.4403,8.6396,1.972,2.058,,,,,,,,,,,,,-3.2172,5.06,,77.181815,61.115624,1887.0,235917.0,,0.68,,,12.66,,,10.33,,,-12.18
2019-10-29,801.0,-19.88,81.7,100.0,0.8108,5.724,196.5,-0.4974,0.0,1.0632,0.0,,222.5993,231.7128,0.8851,-20.2355,2.0844,9.7262,0.3264,2.102,,,,,,,,,,,,,-3.5686,4.7977,,77.181833,61.115544,1891.0,235917.0,,0.68,,,12.56,,,9.76,,,-20.16
2019-10-30,801.0,-27.75,75.54,100.0,0.372,1.79,159.9,-0.247,0.0,0.7687,0.0,,202.6952,204.1773,0.9673,-28.1701,0.4323,4.1426,0.3431,0.351,,,,,,,,,,,,,-3.9053,4.4492,,77.181827,61.11562,1890.0,235917.0,,0.67,,,12.64,,,10.15,,,-28.18
2019-10-31,794.4,-24.84,76.98,100.0,0.5032,3.324,161.2,0.0061,0.0,0.4634,0.0,,214.1781,214.5404,0.9849,-25.1297,0.6907,4.9886,0.3347,2.066,,,,,,,,,,,,,-4.2449,3.9352,,77.181816,61.115581,1885.0,235918.0,,0.63,,,12.64,,,10.14,,,-25.11
2019-11-01,791.3,-22.1,78.61,100.0,0.662,2.879,165.5,0.0693,0.0,0.3758,0.0,,224.259,224.3576,0.9895,-22.3423,0.6438,3.6112,0.3461,0.386,,,,,,,,,,,,,-4.3418,3.8557,,77.181824,61.11559,1888.0,235918.0,,0.69,,,12.56,,,10.14,,,-22.33
2019-11-02,789.2,-29.47,74.2,100.0,0.3163,0.986,119.6,-0.3804,0.0,0.1933,0.0,,198.9552,199.2588,0.9891,-29.6697,0.0,0.0,0.3306,0.354,,,,,,,,,,,,,-4.473,3.893,,77.181811,61.115581,1887.0,235916.0,,0.69,,,12.63,,,9.56,,,-29.67
2019-11-03,789.7,-32.07,72.57,100.0,0.2407,0.339,116.7,-0.0919,0.0,0.4779,0.0,,190.5153,190.8194,0.9884,-32.2897,0.0,0.0,0.3269,2.095,,,,,,,,,,,,,-4.5214,3.8614,,77.181805,61.115588,1887.0,235916.0,,0.69,,,12.54,,,9.96,,,-32.28
2019-11-04,792.2,-22.48,78.4,100.0,0.6372,0.051,160.2,0.0199,0.0,0.3713,0.0,,222.8216,222.8831,0.9886,-22.7557,0.0,0.0,0.3315,0.359,,,,,,,,,,,,,-4.5257,3.8507,,77.181804,61.115563,1889.0,235916.0,,0.68,,,12.63,,,10.14,,,-22.75
2019-11-05,796.3,-21.89,78.83,100.0,0.6715,0.033,156.4,-0.6274,0.0,0.2141,0.0,,224.7305,225.4656,0.9864,-22.0277,0.0,0.0,0.3203,0.342,,,,,,,,,,,,,-4.6945,3.9291,,77.181818,61.115602,1886.0,235916.0,,0.8,,,12.63,,,10.15,,,-22.03
2019-11-06,789.8,-31.32,73.06,100.0,0.2605,,,-1.6421,0.0,0.5303,0.0,,184.9304,193.4936,0.8975,-31.3705,,,0.3293,0.733,,,,,,,,,,,,,-4.6889,3.9716,,77.181825,61.115632,1889.0,235916.0,,0.74,,,12.62,,,,,,-31.45
2019-11-07,792.2,-33.05,71.94,100.0,0.2162,,,-0.6101,0.0,0.9332,0.0,,186.2534,187.7472,0.9749,-33.2533,,,0.3319,0.35,,,,,,,,,,,,,-4.8364,3.947,,77.181817,61.115555,1887.0,235917.0,,0.74,,,12.53,,,9.95,,,-33.25
2019-11-08,791.6,-27.78,75.17,100.0,0.3752,0.001,127.4,-0.4142,0.0,0.374,0.0,,204.5351,204.629,0.9889,-28.0476,0.0,0.0,0.3327,2.097,,,,,,,,,,,,,-4.8299,3.6836,,77.18184,61.115628,1884.0,235917.0,,0.73,,,12.61,,,9.96,,,-28.05
2019-11-09,786.7,-29.93,73.77,100.0,0.3025,,,-0.6638,0.0,0.112,0.0,,197.324,197.437,0.9876,-30.23,,,0.3322,0.353,,,,,,,,,,,,,-4.719,3.7435,,77.181826,61.115602,1888.0,235915.0,,0.73,,,12.61,,,,,,-30.23
2019-11-10,787.6,-35.89,69.96,100.0,0.1601,,,-0.8354,0.0,0.3704,0.0,,179.0313,179.134,0.9925,-36.0669,,,0.3337,2.131,,,,,,,,,,,,,-4.7392,3.6659,,77.181809,61.115679,1891.0,235915.0,,0.73,,,12.61,,,9.96,,,-36.06
2019-11-11,784.2,-27.59,75.01,100.0,0.3862,0.001,133.5,-0.4645,0.0,0.4381,0.0,,205.4317,205.5229,0.9918,-27.7804,0.0,0.0,0.3337,0.35,,,,,,,,,,,,,-4.7519,3.5967,,77.181825,61.115576,1892.0,235915.0,,0.73,,,12.6,,,,,,-27.77
2019-11-12,784.5,-23.41,77.69,100.0,0.5872,,,-0.2227,0.0,0.2322,0.0,,219.4678,219.571,0.988,-23.6908,,,0.3385,2.075,,,,,,,,,,,,,-4.661,3.6194,,77.181817,61.1156,1878.0,235915.0,,0.8,,,12.51,,,10.35,,,-23.69
2019-11-13,786.3,-22.79,78.09,100.0,0.6227,,,-0.3128,0.0,0.0605,0.0,,221.9271,221.963,0.9909,-23.0147,,,0.3389,2.073,,,,,,,,,,,,,-3.8629,3.2944,,77.181812,61.115635,1893.0,235915.0,,0.72,,,12.59,,,10.55,,,-23.01
2019-11-14,793.2,-18.85,81.1,100.0,0.9034,0.003,152.6,-0.2288,0.0,0.1247,0.0,,236.1913,236.184,0.9901,-19.1014,0.0,0.0,0.3338,2.079,,,,,,,,,,,,,-3.5561,3.487,,77.181828,61.115533,1887.0,235916.0,,0.71,,,12.5,,,10.15,,,-19.1
2019-11-15,782.8,-19.11,81.3,100.0,0.8931,0.189,136.6,-0.3761,0.0,0.2611,0.0,,235.6252,235.6185,0.9944,-19.2536,0.0,0.0,1.9259,2.045,,,,,,,,,,,,,-3.6094,3.7984,,77.181821,61.115626,1883.0,235915.0,,0.79,,,12.58,,,10.33,,,-19.24
2019-11-16,766.4,-15.35,85.3,100.0,1.2988,0.035,204.0,-0.5667,0.0,0.0271,0.0,,249.0825,250.1459,0.9856,-15.4189,0.0,0.0,0.3488,0.372,,,,,,,,,,,,,-3.7484,3.6233,,77.181832,61.115599,1888.0,235914.0,,0.79,,,12.58,,,10.14,,,-15.43
2019-11-17,785.8,-19.92,80.8,100.0,0.8233,0.878,201.7,-0.5355,0.0,0.2322,0.0,,215.5662,231.7915,0.8112,-20.1542,0.0,0.0,0.3486,2.098,,,,,,,,,,,,,-3.7348,3.7416,,77.181808,61.115725,1889.0,235914.0,,0.79,,,12.57,,,9.95,,,-20.03
2019-11-18,787.1,-30.13,74.05,100.0,0.2961,1.343,138.2,-1.8492,0.0,0.5239,0.0,,150.2552,192.7993,0.4625,-31.2594,0.5973,7.271,0.332,0.363,,,,,,,,,,,,,-3.8315,3.9395,,77.181804,61.115761,1896.0,235914.0,,0.79,,,12.56,,,9.57,,,-30.3
2019-11-19,784.4,-34.47,71.11,100.0,0.1875,1.182,124.3,-1.1386,0.0,0.9232,0.0,,158.8953,180.1495,0.7074,-35.5164,0.3106,5.7485,0.329,0.795,,,,,,,,,,,,,-3.5485,3.7442,,77.181801,61.115718,1886.0,235914.0,,0.78,,,12.47,,,9.95,,,-34.69
2019-11-20,786.3,-20.88,79.59,100.0,0.7501,1.342,182.5,-0.9315,0.0,0.5646,0.0,,216.3572,227.1248,0.8568,-21.4812,0.839,4.234,0.3267,2.099,,,,,,,,,,,,,-4.4135,4.1011,,77.18182,61.115752,1890.0,235913.0,,0.93,,,12.55,,,,,,-21.11
2019-11-21,791.1,-23.5,78.1,100.0,0.5772,1.214,161.8,-0.8726,0.0,0.5339,0.0,,211.497,219.1138,0.9046,-23.7547,0.2746,1.7463,0.3327,2.1,,,,,,,,,,,,,-4.5091,4.0128,,77.181813,61.115635,1884.0,235914.0,,0.93,,,12.55,,,9.95,,,-23.74
2019-11-22,792.0,-27.3,75.65,100.0,0.3939,1.341,171.2,-0.9142,0.0,0.4634,0.0,,198.3216,206.377,0.9019,-27.4526,0.1323,1.1976,0.3311,0.33,,,,,,,,,,,,,-4.5661,3.9614,,77.181822,61.115678,1882.0,235914.0,,0.93,,,12.55,,,9.95,,,-27.47
2019-11-23,792.6,-31.11,73.18,100.0,0.2654,1.183,158.0,-1.1256,0.0,0.5565,0.0,,185.8885,193.8543,0.9009,-31.2639,0.0835,1.087,0.3304,0.35,,,,,,,,,,,,,-3.2695,3.6253,,77.181809,61.115652,1893.0,235913.0,,1.04,,,12.54,,,9.37,,,-31.31
2019-11-24,790.4,-28.69,74.51,100.0,0.3423,1.179,147.9,-0.4801,0.0,0.7687,0.0,,195.9833,201.6582,0.927,-28.8898,0.1344,1.3824,0.3254,2.085,,,,,,,,,,,,,-3.1697,3.6261,,77.181814,61.115618,1885.0,235913.0,,1.08,,,12.54,,,,,,-28.93
2019-11-25,787.9,-16.21,84.1,100.0,1.1663,1.82,201.9,-0.1733,0.0,0.1888,0.0,,239.8787,246.1307,0.9232,-16.4174,0.3559,1.271,1.8748,2.035,,,,,,,,,,,,,-2.9813,3.491,,77.181812,61.11565,1889.0,235912.0,,1.07,,,12.55,,,10.14,,,-16.32
2019-11-26,792.3,-14.93,85.5,100.0,1.306,5.304,209.9,-0.3241,0.0,0.2014,0.0,,242.2063,250.442,0.8957,-15.2856,1.8621,5.8381,1.8639,2.028,,,,,,,,,,,,,-2.8133,3.7315,,77.181829,61.115668,1884.0,235912.0,,1.06,,,12.46,,,10.33,,,-15.04
2019-11-27,796.4,-17.29,83.2,100.0,1.0429,8.31,210.2,-0.4575,0.0,0.1906,0.0,,231.1655,241.3994,0.8742,-17.6267,2.1848,8.4313,1.8244,1.925,,,,,,,,,,,,,-3.0203,3.5983,,77.181815,61.115653,1886.0,235912.0,,0.98,,,12.54,,,10.34,,,-17.43
2019-11-28,794.4,-18.67,81.8,100.0,0.9177,5.72,209.8,-0.3804,0.0,0.2385,0.0,,231.6426,236.7509,0.9343,-18.9067,0.9888,4.3547,1.803,1.938,,,,,,,,,,,,,-3.1694,3.5065,,77.181803,61.115508,1894.0,235913.0,,0.98,,,12.54,,,,,,-18.82
2019-11-29,791.6,-21.22,79.64,100.0,0.721,6.978,201.3,-0.6984,0.0,0.4896,0.0,,219.8549,227.3408,0.9077,-21.4495,0.9206,5.0712,1.8218,1.939,,,,,,,,,,,,,-3.0861,3.594,,77.181834,61.115621,1886.0,235913.0,,0.81,,,12.54,,,52.31,,,-21.41
2019-11-30,786.0,-16.84,83.6,100.0,1.1023,12.09,199.7,-0.4601,0.0,0.1635,0.0,,237.9384,244.1399,0.9281,-16.9382,0.9308,3.7732,1.8463,0.346,,,,,,,,,,,,,-4.2322,4.0727,,77.181825,61.115666,1887.0,235911.0,,0.81,,,12.53,,,9.75,,,-16.96
2019-12-01,784.0,-22.22,79.04,100.0,0.6604,12.17,200.6,-0.4723,0.0,0.2466,0.0,,211.7693,223.6609,0.8587,-22.4351,1.2976,7.7703,1.8153,1.944,,,,,,,,,,,,,-4.2859,4.0853,,77.181823,61.115744,1883.0,235911.0,,0.81,,,12.53,,,10.34,,,-22.32
2019-12-02,774.0,-22.88,78.68,100.0,0.6271,10.81,160.7,-1.2132,0.0,0.411,0.0,,188.9824,219.8681,0.6361,-23.3367,3.4915,20.6494,0.3388,0.334,,,,,,,,,,,,,-4.4159,4.1646,,77.181824,61.115636,1885.0,235911.0,,0.86,,,12.52,,,9.75,,,-23.01
