time,p_u,t_u,rh_u,rh_u_cor,qh_u,wspd_u,wdir_u,dsr,dsr_cor,usr,usr_cor,albedo,dlr,ulr,cc,t_surf,dlhf_u,dshf_u,z_boom_u,z_stake,z_pt,z_pt_cor,precip_u,precip_u_cor,t_i_1,t_i_2,t_i_3,t_i_4,t_i_5,t_i_6,t_i_7,t_i_8,tilt_x,tilt_y,rot,gps_lat,gps_lon,gps_alt,gps_time,gps_geoid,gps_hdop,gps_numsat,gps_q,batt_v,batt_v_ini,batt_v_ss,fan_dc_u,freq_vw,t_log,t_rad
2019-09-12,795.3,-20.202,75.242,100.0,0.7949,5.8534,117.8,108.6333,63.0304,75.8388,53.561,,168.0602,224.1333,0.3113,-21.9299,5.2148,30.4662,2.2776,2.414,,,,,,,,,,,,,-4.4732,2.1347,,77.181806,61.115507,1891.0,235928.0,,0.68,,,13.94,,,130.1,,,-19.82
2019-09-13,795.0417,-20.6762,73.2483,100.0,0.7677,7.1007,123.8875,92.1682,96.1209,80.9912,81.6801,,169.0429,223.1938,0.3385,-22.2302,5.4338,29.9827,2.2978,2.4215,,,,,,,,,,,,,-4.7017,4.3294,,77.181812,61.115618,1889.75,145927.25,,0.75,,,14.26,,,135.18,,,-20.3958
2019-09-14,792.2333,-20.1362,71.9621,100.0,0.8133,7.4528,125.6375,93.2427,97.1167,82.4084,82.5263,,172.8579,225.3548,0.3597,-21.6445,5.5068,29.0904,2.2991,2.4215,,,,,,,,,,,,,-4.1882,3.8431,,77.18181,61.115588,1889.5,145927.5,,0.79,,,14.17,,,133.88,,,-19.9154
2019-09-15,795.2125,-20.26,69.7812,100.0,0.798,7.417,139.4792,89.922,95.9292,80.4575,81.5172,,178.2214,225.4002,0.4213,-21.6709,5.9012,30.8819,2.2947,2.4232,,,,,,,,,,,,,-4.5287,3.7202,,77.181818,61.115628,1892.0,145927.25,,0.76,,,14.2,,,136.75,,,-20.1433
2019-09-16,803.875,-19.3442,72.1692,100.0,0.8737,7.0084,135.3333,84.8482,84.7543,74.5489,72.0212,,187.1389,228.9023,0.482,-20.7807,6.0497,30.1607,2.2942,2.4188,,,,,,,,,,,,,-4.6015,3.7384,,77.181827,61.115609,1890.0,145927.25,,0.77,,,13.79,,,132.27,,,-19.1708
2019-09-17,808.4583,-20.3421,70.2679,100.0,0.7757,7.8718,144.1667,78.5912,85.2068,70.49,72.4057,,168.4157,223.8612,0.32,-22.0192,6.76,36.5454,2.295,2.4268,,,,,,,,,,,,,-5.2854,3.379,,77.181817,61.115601,1887.25,145926.5,,0.76,,,14.1,,,138.38,,,-20.2688
2019-09-18,805.375,-22.8729,67.4296,100.0,0.6115,7.6701,133.5667,78.7652,85.358,70.6999,72.5343,,159.3641,214.698,0.3132,-24.6154,5.5793,36.9611,2.2955,2.437,,,,,,,,,,,,,-5.8536,3.535,,77.181806,61.115571,1890.0,145926.5,,0.73,,,14.12,,,138.55,,,-22.7704
2019-09-19,799.0625,-22.6658,62.3904,100.0,0.629,8.614,131.0333,74.4764,80.7957,66.4648,68.6573,,164.9002,215.6628,0.3662,-24.3784,6.5579,41.6709,2.295,2.4363,,,,,,,,,,,,,-5.3212,4.2889,,77.181823,61.11563,1889.5,145926.25,,0.73,,,14.03,,,139.75,,,-22.6621
2019-09-20,792.7083,-23.9975,57.9767,100.0,0.5557,7.2118,121.5458,69.5166,75.564,61.9486,64.2116,,164.575,211.0551,0.4101,-25.7446,4.7732,34.7117,2.297,2.4425,,,,,,,,,,,,,-4.9547,3.6325,,77.181825,61.115616,1889.5,145926.25,,0.73,,,14.06,,,133.9,,,-23.7933
2019-09-21,789.9042,-16.1704,80.9692,100.0,1.2896,5.1054,152.875,44.3082,40.8153,34.862,34.6834,,217.5747,242.4967,0.6702,-17.4347,2.6957,15.3886,2.301,2.4048,,,,,,,,,,,,,-4.8551,4.2409,,77.18182,61.115609,1887.75,145925.75,,0.72,,,13.12,,,124.4,,,-16.03
2019-09-22,789.5542,-11.0138,90.175,100.0,1.9472,2.0683,151.4542,31.6017,34.5064,29.5135,29.3224,,257.8919,265.7139,0.893,-11.5451,0.5291,1.0214,2.2977,2.3745,,,,,,,,,,,,,-4.4508,3.2041,,77.181816,61.115621,1889.5,145925.25,,0.71,,,12.74,,,117.68,,,-10.9411
2019-09-23,783.1542,-7.4874,92.1708,100.0,2.6062,6.1759,171.7792,32.1642,40.0961,34.4807,34.0723,,271.1995,279.6944,0.8819,-8.0903,5.6986,9.5491,2.2669,2.348,,,,,,,,,,,,,-3.9564,3.8577,,77.18183,61.115651,1887.25,145925.5,,0.7,,,12.76,,,120.12,,,-7.3982
2019-09-24,785.1458,-11.2237,88.6042,100.0,1.8716,7.3497,197.1875,32.4106,41.0832,35.1247,34.911,,246.8419,264.1332,0.789,-11.7885,3.6608,8.9921,2.2337,2.3358,,,,,,,,,,,,,-3.824,3.1332,,77.181819,61.115631,1886.5,145925.5,,0.68,,,12.74,,,119.8,,,-11.1425
2019-09-25,793.2708,-16.1567,83.8167,100.0,1.1706,5.8059,203.1083,33.632,46.9095,40.1987,39.8621,,222.2355,244.3726,0.7332,-16.7605,2.9647,11.5918,2.2377,2.367,,,,,,,,,,,,,-3.8388,3.8756,,77.181816,61.115634,1888.5,145924.75,,0.72,,,12.75,,,120.25,,,-16.0992
2019-09-26,800.0333,-12.2575,87.5917,100.0,1.6839,10.952,189.8917,25.2646,33.6779,28.9125,28.6183,,255.9028,261.3604,0.9272,-12.5761,3.914,9.1596,2.2186,2.2915,,,,,,,,,,,,,-3.8014,3.5473,,77.181825,61.115654,1890.5,143424.25,,0.78,,,12.72,,,128.25,,,-12.3042
2019-09-27,805.5833,-10.7696,80.7117,100.0,1.8949,9.7496,174.35,34.095,49.5173,42.533,42.078,,231.4333,262.9133,0.6074,-11.9859,10.8694,24.7807,2.2297,2.3393,,,,,,,,,,,,,-4.0447,3.4787,,77.181819,61.115645,1891.75,145924.25,,0.77,,,12.9,,,128.07,,,-10.7425
2019-09-28,808.4583,-10.3183,78.3562,100.0,1.9561,8.6629,155.0542,55.9225,62.8366,53.0424,53.3963,,208.3327,261.376,0.3478,-12.1861,18.8523,43.1649,2.2466,2.353,,,,,,,,,,,,,-4.6328,4.0036,,77.181818,61.115611,1886.75,145924.5,,0.74,,,13.39,,,135.0,,,-10.3878
2019-09-29,807.625,-14.0521,81.4925,100.0,1.3931,7.2325,140.9042,31.4486,39.1302,31.9629,33.2514,,201.6882,247.843,0.4324,-15.6559,8.7352,27.1311,2.2449,2.3685,,,,,,,,,,,,,-4.9967,3.2308,,77.181816,61.115562,1885.75,145923.75,,0.74,,,13.56,,,130.07,,,-14.15
2019-09-30,807.1667,-10.2979,88.2458,100.0,1.9824,6.4747,153.5375,34.2999,36.2655,31.2792,30.8171,,266.5256,269.9168,0.944,-10.4838,1.8524,4.3015,2.2481,2.3492,,,,,,,,,,,,,-5.316,4.4372,,77.181812,61.115598,1890.0,145923.5,,0.74,,,13.0,,,123.05,,,-10.2334
