time,p_u,p_l,t_u,t_l,rh_u,rh_u_cor,qh_u,rh_l,rh_l_cor,qh_l,wspd_u,wspd_l,wdir_u,wdir_l,dsr,dsr_cor,usr,usr_cor,albedo,dlr,ulr,cc,t_surf,dlhf_u,dlhf_l,dshf_u,dshf_l,z_boom_u,z_boom_l,precip_u,precip_u_cor,precip_l,precip_l_cor,t_i_1,t_i_2,t_i_3,t_i_4,t_i_5,t_i_6,t_i_7,t_i_8,t_i_9,t_i_10,t_i_11,tilt_x,tilt_y,rot,gps_lat,gps_lon,gps_alt,gps_time,gps_hdop,batt_v,fan_dc_u,fan_dc_l,t_rad
2022-06-19 15:00:00,,,,,,0.0,,,0.0,,1.056,0.859,250.2,256.8,662.4438,,485.7887,,,192.0785,287.5442,,-5.6095,,,,,,,0.0,,0.0,,,-12.09,-13.52,-14.28,-15.12,-15.6,-16.31,-18.54,-17.06,,-17.78,1.938,-1.6476,187.0,78.528855,56.844224,1981.0,160037.0,1.0,14.5,70.08,73.23,-1.524
2022-06-19 16:00:00,795.8,794.8,-8.57,-8.67,67.53,100.0,2.3062,71.03,100.0,2.2889,0.616,0.411,256.4,250.7,644.8338,628.682,502.6786,502.6786,0.7996,192.8979,288.7908,0.1123,-5.3199,0.0,0.0,0.0,0.0,3.8501,2.5889,0.0,0.0,0.0,0.0,-6.093,-15.09,-17.18,-18.29,-19.51,-20.34,-21.31,-23.58,-22.04,-23.51,-23.65,1.9404,-1.6476,220.5,78.528836,56.844249,1970.0,170036.0,0.72,16.05,75.41,78.55,0.91
2022-06-19 17:00:00,795.8,794.8,-8.25,-7.95,68.45,100.0,2.3719,68.75,100.0,2.4382,0.42,0.455,324.8,319.7,605.5705,596.7337,490.5506,490.5506,0.8221,194.3023,290.8713,0.1131,-4.8389,0.0,0.0,0.0,0.0,3.8663,2.5905,0.0,0.0,0.0,0.0,-5.155,-15.5,-17.86,-19.14,-20.47,-21.44,-22.43,-24.39,-23.08,-24.26,-24.52,1.9451,-1.6547,221.1,78.528862,56.843944,1963.0,180036.0,0.68,16.01,73.62,78.03,4.219
2022-06-19 18:00:00,796.0,794.9,-7.617,-7.383,66.57,100.0,2.5064,66.55,100.0,2.5617,0.165,0.231,333.5,316.4,558.7601,556.4211,460.4167,460.4167,0.8275,194.7358,290.4726,0.0899,-4.9359,0.0,0.0,0.0,0.0,3.8492,2.5913,0.0,0.0,0.0,0.0,-3.012,-15.77,-18.33,-19.73,-21.13,-22.16,-23.14,-24.89,-23.76,-24.63,-24.88,1.8214,-1.6809,221.9,78.528764,56.84403,1967.0,190036.0,0.85,15.74,73.92,76.24,5.804
2022-06-19 19:00:00,796.2,795.1,-8.18,-7.9,68.48,100.0,2.3854,68.83,100.0,2.448,0.509,0.569,199.1,195.3,510.6918,514.394,426.1905,426.1905,0.8285,193.7417,285.3052,0.1042,-6.1544,0.0,0.0,0.0,0.0,3.8687,2.5897,0.0,0.0,0.0,0.0,-1.662,-15.96,-18.67,-20.17,-21.6,-22.66,-23.62,-25.23,-24.24,-24.85,-25.06,1.7,-1.7117,221.8,78.528806,56.844211,1968.0,200036.0,0.7,14.55,69.66,70.62,4.509
2022-06-19 20:00:00,796.3,795.3,-9.03,-8.93,73.2,100.0,2.2132,74.6,100.0,2.2356,1.2,1.104,204.5,199.3,459.1195,469.3909,389.4345,389.4345,0.8297,191.3528,278.9499,0.1159,-7.6679,-4.3536,-3.9762,-7.2876,-6.6739,3.8635,2.5886,0.0,0.0,0.0,0.0,1.067,-16.1,-18.93,-20.5,-21.94,-23.03,-23.98,-25.47,-24.58,-25.01,-25.17,1.7071,-1.7331,221.1,78.528815,56.844123,1969.0,210037.0,0.79,13.86,66.78,67.93,-0.068
2022-06-19 21:00:00,796.4,795.3,-9.95,-9.88,75.85,100.0,2.0398,77.18,100.0,2.0554,1.737,1.508,213.6,206.0,402.7853,418.7531,346.6518,346.6518,0.8278,188.724,272.2874,0.1276,-9.282,-2.0843,-1.7805,-3.7553,-3.2428,3.8568,2.5879,0.0,0.0,0.0,0.0,6.745,-16.22,-19.13,-20.76,-22.22,-23.31,-24.25,-25.66,-24.85,-25.12,-25.24,1.712,-1.7641,220.7,78.528834,56.84434,1978.0,220036.0,0.91,13.69,66.09,66.98,-4.048
2022-06-19 22:00:00,796.4,795.4,-10.77,-10.87,76.72,100.0,1.896,78.15,100.0,1.8815,2.248,1.993,212.9,203.5,335.6694,355.4471,295.9077,295.9077,0.8325,187.0192,266.3153,0.1442,-10.7592,-0.031,-0.3253,0.1566,-0.5331,3.8576,2.5879,0.0,0.0,0.0,0.0,5.9,-16.33,-19.3,-20.97,-22.43,-23.53,-24.46,-25.81,-25.05,-25.2,-25.29,1.7167,-1.8023,220.4,78.528818,56.844168,1971.0,230036.0,0.73,13.6,65.43,66.92,-6.588
2022-06-19 23:00:00,796.6,795.5,-11.73,-11.85,76.88,100.0,1.7391,78.63,100.0,1.7227,2.573,2.334,216.8,209.9,299.1914,323.3345,266.9643,266.9643,,186.3903,261.4678,0.1774,-11.9827,0.7063,0.3874,1.8531,1.0538,3.8574,2.5889,0.0,0.0,0.0,0.0,4.493,-16.41,-19.43,-21.14,-22.61,-23.71,-24.64,-25.93,-25.21,-25.26,-25.33,1.7214,-1.8404,220.1,78.52881,56.844124,1967.0,36.0,0.74,13.57,66.35,68.85,-8.61
2022-06-20 00:00:00,796.6,795.5,-12.5,-12.67,78.4,100.0,1.6222,79.42,100.0,1.5996,2.945,2.655,207.6,199.8,247.619,274.2387,224.5536,224.5536,,184.5233,256.8432,0.1892,-13.1564,1.8041,1.3981,4.7291,3.6655,3.8498,2.5868,0.0,0.0,0.0,0.0,3.533,-16.48,-19.54,-21.28,-22.76,-23.85,-24.78,-26.02,-25.35,-25.32,-25.36,1.7261,-1.8643,219.6,78.528768,56.844101,1975.0,10036.0,0.91,13.51,66.14,68.62,-10.32
2022-06-20 01:00:00,796.4,795.3,-12.87,-13.3,80.3,100.0,1.5691,81.1,100.0,1.5109,2.951,2.596,206.1,195.2,215.9928,240.9019,195.6101,195.6101,,183.0141,252.4733,0.1883,-14.2822,3.1171,2.3359,8.4463,6.429,3.8646,2.5876,0.0,0.0,0.0,0.0,-2.95,-16.54,-19.63,-21.4,-22.88,-23.98,-24.9,-26.1,-25.46,-25.37,-25.39,1.7213,-1.8761,219.3,78.528806,56.84411,1969.0,20037.0,0.69,13.49,65.85,67.56,-11.26
2022-06-20 02:00:00,796.3,795.2,-13.33,-13.97,82.7,100.0,1.5049,83.1,100.0,1.4214,2.839,2.621,194.1,184.3,197.8437,218.6429,176.0417,176.0417,,182.7373,248.8032,0.204,-15.2471,3.3355,2.7194,9.5244,7.9703,3.8505,2.5891,0.0,0.0,0.0,0.0,-9.16,-16.58,-19.71,-21.5,-22.98,-24.08,-25.0,-26.17,-25.55,-25.41,-25.41,1.7166,-1.8739,219.3,78.528795,56.844147,1983.0,30036.0,0.84,13.44,64.45,67.56,-12.16
2022-06-20 03:00:00,796.2,795.1,-12.63,-13.55,82.8,100.0,1.604,83.4,100.0,1.4772,3.18,2.749,211.4,199.3,112.5786,211.9402,169.1964,169.1964,,183.8739,247.3327,0.1877,-15.6467,5.2552,4.134,14.6954,12.0073,3.8879,2.5912,0.0,0.0,0.0,0.0,-8.88,-16.61,-19.77,-21.59,-23.07,-24.17,-25.09,-26.23,-25.63,-25.43,-25.42,1.7166,-1.862,219.5,78.528786,56.844122,1968.0,40036.0,0.71,13.44,65.64,66.8,-12.18
2022-06-20 04:00:00,796.0,794.9,-12.97,-13.42,82.7,100.0,1.5556,83.8,100.0,1.4952,3.235,2.939,207.0,197.5,209.2543,210.1981,166.369,166.369,,185.6946,248.5141,0.2206,-15.3473,4.824,4.4411,13.5652,12.6791,3.8814,2.5841,0.0,0.0,0.0,0.0,-12.09,-16.61,-19.83,-21.66,-23.15,-24.25,-25.16,-26.28,-25.7,-25.46,-25.44,1.7117,-1.8549,219.1,78.528771,56.844079,1962.0,50036.0,0.83,13.44,64.42,66.05,-12.1
2022-06-20 05:00:00,795.9,794.8,-12.15,-12.45,82.1,100.0,1.6759,83.4,100.0,1.6333,3.733,3.374,202.7,195.1,246.3612,237.1576,186.0863,186.0863,,186.6219,251.7516,0.197,-14.5,6.5561,6.1225,17.1928,16.1808,3.8641,2.5889,0.0,0.0,0.0,0.0,-12.73,-16.61,-19.87,-21.72,-23.22,-24.32,-25.23,-26.33,-25.76,-25.49,-25.45,1.7046,-1.8477,219.1,78.52881,56.844029,1963.0,60036.0,0.68,13.46,65.73,66.05,-11.11
2022-06-20 06:00:00,795.7,794.6,-12.03,-12.13,80.5,100.0,1.6946,81.8,100.0,1.6817,4.135,3.995,195.3,188.4,282.4798,269.0869,209.3006,209.3006,,186.4147,255.3525,0.1899,-13.5576,5.6496,5.8686,14.2989,14.7939,3.8513,2.5846,0.0,0.0,0.0,0.0,-12.26,-16.59,-19.91,-21.78,-23.27,-24.38,-25.29,-26.36,-25.82,-25.51,-25.46,1.7094,-1.8214,219.6,78.528897,56.844113,1990.0,70037.0,1.05,13.52,65.52,68.5,-10.68
2022-06-20 07:00:00,795.8,794.7,-12.2,-12.25,79.65,100.0,1.6685,81.1,100.0,1.6633,4.052,3.816,204.1,195.8,329.1105,313.9351,242.0387,242.0387,,186.9053,256.76,0.202,-13.1964,3.8242,3.8779,9.7277,9.7643,3.8618,2.5831,0.0,0.0,0.0,0.0,-12.01,-16.58,-19.94,-21.83,-23.33,-24.44,-25.34,-26.39,-25.86,-25.53,-25.47,1.7119,-1.781,218.8,78.528808,56.844184,1966.0,80036.0,0.89,13.59,65.09,67.68,-10.31
2022-06-20 08:00:00,795.8,794.7,-11.88,-11.88,79.63,100.0,1.7174,81.0,100.0,1.7198,4.262,4.179,199.5,192.0,390.2965,374.2883,286.0119,286.0119,,187.4279,260.2417,0.1944,-12.3041,1.9063,2.081,4.8336,5.1266,3.8592,2.5829,0.0,0.0,0.0,0.0,-11.6,-16.55,-19.97,-21.87,-23.38,-24.48,-25.39,-26.43,-25.91,-25.55,-25.48,1.7119,-1.7359,218.3,78.528813,56.844039,1964.0,90036.0,0.91,13.71,65.91,68.99,-9.64
2022-06-20 09:00:00,795.6,794.6,-10.92,-10.9,79.68,100.0,1.8726,81.0,100.0,1.8783,5.338,5.2,202.4,195.5,457.6819,443.0012,335.4911,335.4911,0.7573,190.0194,265.7212,0.1819,-10.9316,0.0726,0.2124,0.6427,0.7943,3.8595,2.5819,0.0,0.0,0.0,0.0,-10.59,-16.52,-19.98,-21.91,-23.42,-24.53,-25.43,-26.45,-25.94,-25.56,-25.49,1.7166,-1.731,219.4,78.528813,56.844167,1974.0,100036.0,0.77,14.0,67.36,70.56,-8.66
2022-06-20 10:00:00,795.2,794.2,-9.97,-9.95,80.0,100.0,2.0392,81.7,100.0,2.0454,5.503,5.68,199.0,194.0,502.7853,482.8044,370.9821,370.9821,0.7684,192.5232,270.837,0.1682,-9.6699,-2.1517,-2.2512,-3.6567,-3.9717,3.8468,2.5836,0.0,0.0,0.0,0.0,-9.02,-16.5,-20.0,-21.94,-23.45,-24.57,-25.47,-26.48,-25.97,-25.58,-25.49,1.6903,-1.6953,219.8,78.52879,56.844402,1967.0,110036.0,0.79,15.62,74.05,73.45,-7.513
2022-06-20 11:00:00,794.9,793.9,-9.03,-9.02,79.62,100.0,2.2171,81.4,100.0,2.2219,6.09,6.174,199.8,192.5,553.3693,531.4867,417.7083,417.7083,0.7859,204.1165,276.7735,0.2494,-8.2919,-6.4411,-6.9762,-10.7827,-11.8592,3.8507,2.5852,0.0,0.0,0.0,0.0,-6.917,-16.46,-20.02,-21.97,-23.49,-24.6,-25.5,-26.5,-26.0,-25.59,-25.5,1.7189,-1.6761,220.1,78.528898,56.844164,1952.0,120037.0,0.77,16.39,76.45,79.13,-6.379
2022-06-20 12:00:00,794.8,793.8,-8.48,-8.32,77.95,100.0,2.3274,79.25,100.0,2.3634,6.529,6.604,194.8,190.0,631.0872,604.8466,478.497,478.497,0.7911,202.3096,280.9187,0.2067,-7.2704,,-11.4737,,-18.3909,,2.5837,0.0,0.0,0.0,0.0,-6.668,-16.43,-20.02,-22.0,-23.52,-24.63,-25.53,-26.52,-26.03,-25.6,-25.51,1.7189,-1.6476,218.6,78.528851,56.844234,1982.0,130036.0,0.73,16.76,76.71,79.15,-5.606
2022-06-20 13:00:00,794.6,793.5,-8.05,-7.9,77.25,100.0,2.4176,78.53,100.0,2.4529,6.669,6.613,201.3,195.1,693.4412,666.1165,529.3155,529.3155,0.7946,202.9983,284.1112,0.1952,-6.5066,-16.5939,-16.0864,-25.5263,-24.724,3.8401,2.5848,0.0,0.0,0.0,0.0,-6.318,-16.42,-20.03,-22.02,-23.55,-24.66,-25.56,-26.54,-26.06,-25.62,-25.51,1.6807,-1.6429,216.5,78.52878,56.84419,1962.0,140036.0,0.84,16.8,77.76,79.11,-4.954
2022-06-20 14:00:00,794.1,793.1,-7.317,-7.167,73.78,100.0,2.5791,75.22,100.0,2.6163,6.949,6.984,208.5,201.4,575.4717,566.3066,467.3363,467.3363,0.8252,248.8103,287.0996,0.6414,-6.1205,-13.8269,-13.0992,-20.2124,-19.1389,3.728,2.5834,0.0,0.0,0.0,0.0,-1.783,-16.37,-20.04,-22.05,-23.57,-24.69,-25.59,-26.56,-26.08,-25.62,-25.51,1.6831,-1.6094,218.6,78.528808,56.844377,1971.0,150036.0,0.8,15.38,73.06,72.4,-4.351
2022-06-20 15:00:00,793.9,793.0,-6.95,-6.833,70.58,100.0,2.6634,72.23,100.0,2.6937,6.796,6.783,225.5,219.4,559.0296,554.9094,467.8571,467.8571,0.8431,266.0396,288.3419,0.805,-5.9475,-11.5447,-10.9851,-16.4194,-15.6625,3.7257,2.5821,0.0,0.0,0.0,0.0,-0.77,-16.35,-20.05,-22.07,-23.6,-24.71,-25.61,-26.57,-26.1,-25.64,-25.52,1.6927,-1.6237,218.7,78.528838,56.844142,1969.0,160036.0,0.83,16.19,74.65,73.03,-4.005
2022-06-20 16:00:00,793.7,792.8,-6.783,-6.833,74.67,100.0,2.703,76.77,100.0,2.6944,6.824,6.847,236.0,227.7,536.1186,534.6063,459.375,459.375,0.8593,275.8188,288.674,0.8996,-5.9382,-9.7777,-11.1933,-13.7118,-15.9538,3.7308,2.5841,0.0,0.0,0.0,0.0,-0.573,-16.34,-20.05,-22.09,-23.62,-24.73,-25.63,-26.59,-26.12,-25.64,-25.52,1.7047,-1.588,218.1,78.528794,56.844155,1970.0,170037.0,0.7,14.85,68.46,70.28,-4.127
2022-06-20 17:00:00,793.4,792.5,-7.25,-7.217,83.3,100.0,2.5964,85.2,100.0,2.6069,6.996,7.002,229.1,221.9,477.7179,477.1191,419.3452,419.3452,0.8789,276.6734,287.7979,0.9294,-6.1533,-12.7245,-13.3049,-18.5083,-19.4955,3.7305,2.5852,0.0,0.0,0.0,0.0,-3.087,-16.39,-20.06,-22.1,-23.63,-24.76,-25.65,-26.6,-26.14,-25.65,-25.53,1.7453,-1.6333,223.1,78.528859,56.844186,1962.0,180036.0,0.71,14.41,67.06,67.48,-4.799
2022-06-20 18:00:00,793.2,792.3,-7.133,-7.083,84.0,100.0,2.6237,85.8,100.0,2.6381,6.623,6.645,231.1,223.9,446.3612,446.1912,393.3036,393.3036,0.8815,276.7587,287.9415,0.9251,-6.1196,-11.2699,-11.5839,-16.2469,-16.8182,3.7293,2.5769,0.0,0.0,0.0,0.0,-6.413,-16.5,-20.08,-22.12,-23.66,-24.77,-25.67,-26.61,-26.16,-25.66,-25.53,1.7406,-1.6453,220.7,78.528747,56.84407,1953.0,190036.0,0.85,14.81,69.22,69.62,-4.865
2022-06-20 19:00:00,793.1,792.2,-6.767,-6.767,83.8,100.0,2.7088,85.6,100.0,2.7119,6.551,6.571,237.9,230.2,476.0108,476.9819,413.9137,413.9137,0.8678,265.3565,289.0459,0.7897,-5.775,-11.2221,-12.1267,-15.7147,-17.1626,3.7329,2.5755,0.0,0.0,0.0,0.0,-7.517,-16.55,-20.09,-22.14,-23.67,-24.79,-25.68,-26.62,-26.17,-25.67,-25.53,1.7477,-1.6549,221.6,78.528849,56.844343,1963.0,200036.0,0.9,14.44,67.99,67.84,-4.489
2022-06-20 20:00:00,793.1,792.1,-6.567,-6.55,86.5,100.0,2.7562,88.7,100.0,2.7638,5.981,5.448,251.1,244.5,339.0836,339.4974,298.3631,298.3631,0.8788,282.0652,288.924,0.9552,-5.9233,-6.6741,-6.485,-9.1405,-9.0201,3.7353,2.5746,0.0,0.0,0.0,0.0,-8.05,-16.59,-20.1,-22.15,-23.69,-24.81,-25.7,-26.63,-26.18,-25.67,-25.54,1.7834,-1.6644,220.4,78.528838,56.843996,1979.0,210036.0,0.76,14.25,69.42,67.43,-4.763
2022-06-20 21:00:00,793.0,792.2,-6.383,-6.317,89.7,100.0,2.8008,91.4,100.0,2.8197,4.999,3.265,264.6,258.9,290.1168,290.6569,255.9524,255.9524,0.8806,283.2692,289.7644,0.9595,-5.7319,-5.8923,-4.0153,-7.9552,-5.477,3.7356,2.5767,0.0,0.0,0.0,0.0,-8.39,-16.6,-20.11,-22.16,-23.7,-24.83,-25.72,-26.64,-26.2,-25.68,-25.54,1.781,-1.7073,220.8,78.528776,56.844162,1971.0,220037.0,0.78,14.23,68.85,66.89,-4.606
2022-06-20 22:00:00,793.0,792.0,-6.433,-6.4,89.5,100.0,2.7887,91.2,100.0,2.8002,3.283,2.46,260.9,256.5,221.9227,223.0746,191.0714,191.0714,0.8565,279.53,289.4307,0.9227,-5.7846,-4.1656,-3.3831,-5.6452,-4.6481,3.7392,2.5763,0.0,0.0,0.0,0.0,-8.72,-16.61,-20.11,-22.17,-23.71,-24.84,-25.73,-26.65,-26.21,-25.68,-25.54,1.7834,-1.7216,220.3,78.528814,56.844181,1971.0,230036.0,0.84,13.99,67.11,66.25,-4.447
2022-06-20 23:00:00,792.7,791.8,-6.517,-6.5,89.6,100.0,2.7696,91.5,100.0,2.7768,2.806,2.684,245.0,236.6,174.3037,180.2949,155.0595,155.0595,,282.6168,287.6528,0.9587,-6.2306,-1.5181,-1.4834,-1.9464,-1.9727,3.7366,2.5768,0.0,0.0,0.0,0.0,-8.98,-16.61,-20.12,-22.18,-23.72,-24.85,-25.74,-26.66,-26.22,-25.69,-25.54,1.7763,-1.774,220.6,78.528792,56.844164,1967.0,36.0,0.73,13.94,66.89,66.79,-4.885
2022-06-21 00:00:00,792.5,791.5,-6.783,-6.8,89.0,100.0,2.7071,91.2,100.0,2.7065,3.407,3.328,244.1,234.9,132.9739,138.034,119.1964,119.1964,,281.0425,285.699,0.9542,-6.6875,-0.5639,-0.71,-0.5332,-0.8389,3.7367,2.5743,0.0,0.0,0.0,0.0,-9.18,-16.6,-20.12,-22.19,-23.73,-24.86,-25.76,-26.67,-26.23,-25.7,-25.55,1.7786,-1.7763,220.9,78.52882,56.84409,1981.0,10036.0,0.89,13.8,65.75,65.3,-5.499
2022-06-21 01:00:00,792.2,791.2,-7.167,-7.1,88.7,100.0,2.6192,91.0,100.0,2.6379,3.185,3.167,238.5,228.6,122.7314,127.6943,110.7143,110.7143,,280.1118,284.3067,0.9616,-7.0159,-0.8254,-0.4943,-0.9778,-0.5431,3.735,2.5759,0.0,0.0,0.0,0.0,-9.36,-16.58,-20.13,-22.2,-23.75,-24.87,-25.77,-26.67,-26.24,-25.7,-25.55,1.7643,-1.8096,220.3,78.528793,56.844105,1966.0,20036.0,0.63,13.7,64.52,64.56,-5.951
2022-06-21 02:00:00,791.9,791.0,-7.083,-7.033,89.7,100.0,2.6395,91.7,100.0,2.654,4.089,4.02,245.6,237.8,107.7269,112.3949,97.8423,97.8423,,279.1983,284.025,0.9483,-7.0772,-0.0387,0.3184,0.3085,0.7592,3.7366,2.5742,0.0,0.0,0.0,0.0,-9.53,-16.57,-20.13,-22.21,-23.76,-24.88,-25.77,-26.68,-26.25,-25.71,-25.55,1.7691,-1.8524,219.3,78.528812,56.844301,1973.0,30037.0,0.72,13.63,65.23,63.99,-6.297
2022-06-21 03:00:00,792.0,791.0,-7.283,-7.233,89.4,100.0,2.5936,91.1,100.0,2.6082,3.688,3.56,303.9,297.4,130.3684,135.441,118.378,118.378,,277.5212,283.7048,0.9397,-7.1424,-1.0672,-0.5851,-1.5055,-0.6678,1.5026,2.5801,0.0,0.0,0.0,0.0,-9.64,-16.55,-20.13,-22.21,-23.76,-24.89,-25.78,-26.69,-26.26,-25.71,-25.55,1.7644,-1.8714,220.3,78.528853,56.844181,1970.0,40036.0,0.72,13.63,65.07,66.32,-6.18
2022-06-21 04:00:00,791.9,791.0,-8.17,-8.02,88.4,100.0,2.4004,90.0,100.0,2.435,3.548,3.513,346.2,339.8,132.8841,134.3925,117.9315,117.9315,,266.7814,279.8341,0.8668,-8.0035,,-0.0984,,0.0743,,2.5576,0.0,0.0,0.0,0.0,-9.78,-16.53,-20.13,-22.22,-23.77,-24.9,-25.79,-26.69,-26.27,-25.71,-25.56,1.762,-1.9024,219.1,78.528774,56.844216,1967.0,50036.0,1.01,13.63,65.04,65.41,-6.639
2022-06-21 05:00:00,791.8,790.8,-9.13,-9.07,88.0,100.0,2.2062,89.6,100.0,2.2208,3.39,3.313,347.3,340.2,149.3261,148.1318,130.506,130.506,,253.4644,274.3552,0.7696,-9.2509,0.5698,0.9167,1.351,1.8943,3.7438,2.5525,0.0,0.0,0.0,0.0,-9.86,-16.5,-20.13,-22.22,-23.78,-24.91,-25.8,-26.7,-26.28,-25.72,-25.56,1.7571,-1.9119,219.1,78.528831,56.844141,1972.0,60036.0,0.65,13.63,65.4,65.56,-7.448
