,metric,time,TA1,TA2
0,RMSE,all,0.35,0.32
1,bias,all,0.0,0.15
2,R2,all,0.99,0.99
3,N,all,17415.0,17415.0
4,RMSE,night,0.23,0.17
5,bias,night,-0.11,0.06
6,R2,night,0.99,0.99
7,N,night,2964.0,2964.0
8,RMSE,day,0.66,0.57
9,bias,day,-0.04,0.11
10,R2,day,0.98,0.98
11,N,day,3064.0,3064.0
