,metric,time,TA1,TA2
0,RMSE,all,0.48,0.64
1,ME,all,0.09,0.22
2,R2,all,0.99,0.98
3,N,all,3345.0,3345.0
4,RMSE,night,6.83,8.3
5,ME,night,1.67,1.93
6,R2,night,0.08,-0.21
7,N,night,11.0,11.0
8,RMSE,day,0.48,0.47
9,ME,day,-0.06,0.01
10,R2,day,0.96,0.96
11,N,day,1138.0,1138.0
