,metric,time,tc_air_Avg(1),tc_air_Avg(2),t_air_Avg(1),t_air_Avg(2)
0,RMSE,all,1.99,1.91,16.63,16.89
1,ME,all,0.0,0.18,1.54,1.8
2,R2,all,0.98,0.98,0.87,0.87
3,N,all,10060.0,10060.0,10060.0,10060.0
4,RMSE,night,2.3,2.08,38.19,38.03
5,ME,night,-0.06,0.1,3.37,3.46
6,R2,night,0.97,0.97,0.0,0.01
7,N,night,1483.0,1483.0,1483.0,1483.0
8,RMSE,day,1.41,1.29,1.77,2.33
9,ME,day,-0.52,-0.34,-0.07,0.42
10,R2,day,0.97,0.97,0.96,0.95
11,N,day,2217.0,2217.0,2217.0,2217.0
